branch_id,branch_name,month,review_count,average_rating,average_sentiment_score,negative_ratio,is_zero_volume,is_observed,anomaly_score,is_anomaly,alert_reasons,alert_severity
banjara_hills,Banjara Hills,2022-05,43,4.3488,0.018695,0.0,False,True,0.029357,False,[],low
gachibowli,Gachibowli,2023-07,28,3.8214,0.054924,0.0714,False,True,0.029824,False,[],low
jubilee_hills,Jubilee Hills,2023-09,221,3.914,0.038548,0.0543,False,True,0.030336,False,[],low
banjara_hills,Banjara Hills,2026-05,45,3.8222,0.094326,0.0222,False,True,0.035395,False,[],low
banjara_hills,Banjara Hills,2023-09,37,4.0811,0.0941,0.027,False,True,0.036945,False,[],low
jubilee_hills,Jubilee Hills,2021-12,516,4.0969,0.060901,0.0155,False,True,0.038469,False,[],low
gachibowli,Gachibowli,2026-03,30,3.6,0.034639,0.0667,False,True,0.038671,False,[],low
jubilee_hills,Jubilee Hills,2020-03,497,4.3179,0.044702,0.0101,False,True,0.038903,False,[],low
jubilee_hills,Jubilee Hills,2017-11,59,4.3559,0.095734,0.0,False,True,0.039005,False,[],low
jubilee_hills,Jubilee Hills,2018-07,121,4.3306,0.09431,0.0083,False,True,0.041045,False,[],low
banjara_hills,Banjara Hills,2022-09,36,4.1667,0.065977,0.0556,False,True,0.041656,False,[],low
jubilee_hills,Jubilee Hills,2017-12,113,4.1593,0.091656,0.0088,False,True,0.042073,False,[],low
jubilee_hills,Jubilee Hills,2019-10,672,4.2679,0.052226,0.0089,False,True,0.043066,False,[],low
jubilee_hills,Jubilee Hills,2020-10,275,4.1891,0.068784,0.0291,False,True,0.044498,False,[],low
jubilee_hills,Jubilee Hills,2020-12,531,4.1525,0.061099,0.0207,False,True,0.045129,False,[],low
jubilee_hills,Jubilee Hills,2019-03,425,4.3412,0.067971,0.0118,False,True,0.045197,False,[],low
jubilee_hills,Jubilee Hills,2021-01,617,4.2156,0.055061,0.0097,False,True,0.045846,False,[],low
jubilee_hills,Jubilee Hills,2026-07,65,3.5538,0.013466,0.0462,False,True,0.046481,False,[],low
banjara_hills,Banjara Hills,2025-09,43,4.0233,0.044455,0.0698,False,True,0.046495,False,[],low
jubilee_hills,Jubilee Hills,2022-10,394,3.9772,0.034096,0.0152,False,True,0.047041,False,[],low
jubilee_hills,Jubilee Hills,2024-08,105,3.6,0.027057,0.0571,False,True,0.047189,False,[],low
banjara_hills,Banjara Hills,2025-04,11,4.0,0.030808,0.0,False,True,0.047292,False,['review_volume_shift_vs_previous_month'],medium
jubilee_hills,Jubilee Hills,2021-02,535,4.1757,0.054783,0.0056,False,True,0.047665,False,[],low
jubilee_hills,Jubilee Hills,2022-01,409,4.0024,0.037672,0.0293,False,True,0.049897,False,[],low
jubilee_hills,Jubilee Hills,2025-11,72,3.5417,0.032693,0.0139,False,True,0.050462,False,[],low
banjara_hills,Banjara Hills,2023-12,36,4.3611,0.070361,0.0278,False,True,0.052007,False,[],low
